time,open,high,low,close,Upper Band,Lower Band,Upper Band Extended,Lower Band Extended,Fibonacci 23.6% Up,Fibonacci 38.2% Up,Fibonacci 50.0% Up,Fibonacci 61.8% Up,Fibonacci 23.6% Down,Fibonacci 38.2% Down,Fibonacci 50.0% Down,Fibonacci 61.8% Down
1623600000,36034.9,37764.3,35963.5,37642.5,55949.33821031924,15660.461789680765,59978.22585238308,11631.574147616917,40558.98741763534,43500.07539634195,45877.119105159625,48254.162813977295,31050.812582364662,28109.724603658055,25732.680894840385,23355.637186022715
1623614400,37642.5,39349.7,37633.3,39022.9,55949.33821031924,15660.461789680765,59978.22585238308,11631.574147616917,40558.98741763534,43500.07539634195,45877.119105159625,48254.162813977295,31050.812582364662,28109.724603658055,25732.680894840385,23355.637186022715
1623628800,39022.8,39816.9,38751.4,38981,58409.99638580385,19635.803614196153,62287.41566296462,15758.384337035382,43598.25474704971,46428.770819377074,48716.448192901924,51004.12556642678,34447.545252950295,31617.029180622932,29329.35180709808,27041.674433573222
1623643200,38980.9,39719.4,38794.5,39571.9,58409.99638580385,19635.803614196153,62287.41566296462,15758.384337035382,43598.25474704971,46428.770819377074,48716.448192901924,51004.12556642678,34447.545252950295,31617.029180622932,29329.35180709808,27041.674433573222
1623657600,39571.9,39648.7,38832.5,39172.8,58409.99638580385,19635.803614196153,62287.41566296462,15758.384337035382,43598.25474704971,46428.770819377074,48716.448192901924,51004.12556642678,34447.545252950295,31617.029180622932,29329.35180709808,27041.674433573222
1623672000,39172.7,41017.1,39057.4,40694,58409.99638580385,19635.803614196153,62287.41566296462,15758.384337035382,43598.25474704971,46428.770819377074,48716.448192901924,51004.12556642678,34447.545252950295,31617.029180622932,29329.35180709808,27041.674433573222
1623686400,40694,40739.1,39255.6,39711,58409.99638580385,19635.803614196153,62287.41566296462,15758.384337035382,43598.25474704971,46428.770819377074,48716.448192901924,51004.12556642678,34447.545252950295,31617.029180622932,29329.35180709808,27041.674433573222
1623700800,39711.2,40597.9,39610.1,40505.8,58409.99638580385,19635.803614196153,62287.41566296462,15758.384337035382,43598.25474704971,46428.770819377074,48716.448192901924,51004.12556642678,34447.545252950295,31617.029180622932,29329.35180709808,27041.674433573222
1623715200,40505.7,40855,39851.2,40405,58409.99638580385,19635.803614196153,62287.41566296462,15758.384337035382,43598.25474704971,46428.770819377074,48716.448192901924,51004.12556642678,34447.545252950295,31617.029180622932,29329.35180709808,27041.674433573222
1623729600,40405.1,40582,40093.2,40369.9,58409.99638580385,19635.803614196153,62287.41566296462,15758.384337035382,43598.25474704971,46428.770819377074,48716.448192901924,51004.12556642678,34447.545252950295,31617.029180622932,29329.35180709808,27041.674433573222
1623744000,40369.9,40408.6,39524.4,39836.9,58409.99638580385,19635.803614196153,62287.41566296462,15758.384337035382,43598.25474704971,46428.770819377074,48716.448192901924,51004.12556642678,34447.545252950295,31617.029180622932,29329.35180709808,27041.674433573222
1623758400,39837,40455.8,39681.9,40046.1,58409.99638580385,19635.803614196153,62287.41566296462,15758.384337035382,43598.25474704971,46428.770819377074,48716.448192901924,51004.12556642678,34447.545252950295,31617.029180622932,29329.35180709808,27041.674433573222
1623772800,40045.3,41327.2,39757,39935.9,58409.99638580385,19635.803614196153,62287.41566296462,15758.384337035382,43598.25474704971,46428.770819377074,48716.448192901924,51004.12556642678,34447.545252950295,31617.029180622932,29329.35180709808,27041.674433573222
1623787200,39935.9,40335,39455.9,40136.5,58409.99638580385,19635.803614196153,62287.41566296462,15758.384337035382,43598.25474704971,46428.770819377074,48716.448192901924,51004.12556642678,34447.545252950295,31617.029180622932,29329.35180709808,27041.674433573222
1623801600,40133.8,40166.9,39591.9,40008.1,58409.99638580385,19635.803614196153,62287.41566296462,15758.384337035382,43598.25474704971,46428.770819377074,48716.448192901924,51004.12556642678,34447.545252950295,31617.029180622932,29329.35180709808,27041.674433573222
1623816000,40008.2,40473,39841.1,40117.6,58409.99638580385,19635.803614196153,62287.41566296462,15758.384337035382,43598.25474704971,46428.770819377074,48716.448192901924,51004.12556642678,34447.545252950295,31617.029180622932,29329.35180709808,27041.674433573222
1623830400,40117.6,40242.8,38870,39057.7,58409.99638580385,19635.803614196153,62287.41566296462,15758.384337035382,43598.25474704971,46428.770819377074,48716.448192901924,51004.12556642678,34447.545252950295,31617.029180622932,29329.35180709808,27041.674433573222
1623844800,39057.7,39538.8,38550,38767.2,58409.99638580385,19635.803614196153,62287.41566296462,15758.384337035382,43598.25474704971,46428.770819377074,48716.448192901924,51004.12556642678,34447.545252950295,31617.029180622932,29329.35180709808,27041.674433573222
1623859200,38767.2,39690,38269.7,38641.4,58409.99638580385,19635.803614196153,62287.41566296462,15758.384337035382,43598.25474704971,46428.770819377074,48716.448192901924,51004.12556642678,34447.545252950295,31617.029180622932,29329.35180709808,27041.674433573222
1623873600,38641.3,38890.6,38081.9,38329.2,58409.99638580385,19635.803614196153,62287.41566296462,15758.384337035382,43598.25474704971,46428.770819377074,48716.448192901924,51004.12556642678,34447.545252950295,31617.029180622932,29329.35180709808,27041.674433573222
1623888000,38329.2,38943.5,38190.3,38832.3,58409.99638580385,19635.803614196153,62287.41566296462,15758.384337035382,43598.25474704971,46428.770819377074,48716.448192901924,51004.12556642678,34447.545252950295,31617.029180622932,29329.35180709808,27041.674433573222
1623902400,38832.3,39390.8,38631.5,39204,58409.99638580385,19635.803614196153,62287.41566296462,15758.384337035382,43598.25474704971,46428.770819377074,48716.448192901924,51004.12556642678,34447.545252950295,31617.029180622932,29329.35180709808,27041.674433573222
1623916800,39204,39571.4,39053.8,39145.3,58409.99638580385,19635.803614196153,62287.41566296462,15758.384337035382,43598.25474704971,46428.770819377074,48716.448192901924,51004.12556642678,34447.545252950295,31617.029180622932,29329.35180709808,27041.674433573222
1623931200,39145.2,39185.3,38369.5,38984.4,58409.99638580385,19635.803614196153,62287.41566296462,15758.384337035382,43598.25474704971,46428.770819377074,48716.448192901924,51004.12556642678,34447.545252950295,31617.029180622932,29329.35180709808,27041.674433573222
1623945600,38984.3,39091.2,37473.3,37668.2,58409.99638580385,19635.803614196153,62287.41566296462,15758.384337035382,43598.25474704971,46428.770819377074,48716.448192901924,51004.12556642678,34447.545252950295,31617.029180622932,29329.35180709808,27041.674433573222
1623960000,37668.1,38173.8,37338.8,38062.4,58409.99638580385,19635.803614196153,62287.41566296462,15758.384337035382,43598.25474704971,46428.770819377074,48716.448192901924,51004.12556642678,34447.545252950295,31617.029180622932,29329.35180709808,27041.674433573222
1623974400,38062.4,38167.4,37195.9,37905.3,58409.99638580385,19635.803614196153,62287.41566296462,15758.384337035382,43598.25474704971,46428.770819377074,48716.448192901924,51004.12556642678,34447.545252950295,31617.029180622932,29329.35180709808,27041.674433573222
1623988800,37905.3,38098.9,37363.2,37699.4,58409.99638580385,19635.803614196153,62287.41566296462,15758.384337035382,43598.25474704971,46428.770819377074,48716.448192901924,51004.12556642678,34447.545252950295,31617.029180622932,29329.35180709808,27041.674433573222
1624003200,37699.4,38012,37050,37805,58409.99638580385,19635.803614196153,62287.41566296462,15758.384337035382,43598.25474704971,46428.770819377074,48716.448192901924,51004.12556642678,34447.545252950295,31617.029180622932,29329.35180709808,27041.674433573222
1624017600,37805.1,37942,36320,36350.1,58409.99638580385,19635.803614196153,62287.41566296462,15758.384337035382,43598.25474704971,46428.770819377074,48716.448192901924,51004.12556642678,34447.545252950295,31617.029180622932,29329.35180709808,27041.674433573222
1624032000,36350.1,36724.9,35125,35307.6,58409.99638580385,19635.803614196153,62287.41566296462,15758.384337035382,43598.25474704971,46428.770819377074,48716.448192901924,51004.12556642678,34447.545252950295,31617.029180622932,29329.35180709808,27041.674433573222
1624046400,35307.5,35920,35227.6,35808.8,58409.99638580385,19635.803614196153,62287.41566296462,15758.384337035382,43598.25474704971,46428.770819377074,48716.448192901924,51004.12556642678,34447.545252950295,31617.029180622932,29329.35180709808,27041.674433573222
1624060800,35808.7,36266,34762.3,35082.7,58409.99638580385,19635.803614196153,62287.41566296462,15758.384337035382,43598.25474704971,46428.770819377074,48716.448192901924,51004.12556642678,34447.545252950295,31617.029180622932,29329.35180709808,27041.674433573222
1624075200,35082.7,35850,34937.9,35788,58409.99638580385,19635.803614196153,62287.41566296462,15758.384337035382,43598.25474704971,46428.770819377074,48716.448192901924,51004.12556642678,34447.545252950295,31617.029180622932,29329.35180709808,27041.674433573222
1624089600,35787.9,35997.1,35555.8,35934.9,58409.99638580385,19635.803614196153,62287.41566296462,15758.384337035382,43598.25474704971,46428.770819377074,48716.448192901924,51004.12556642678,34447.545252950295,31617.029180622932,29329.35180709808,27041.674433573222
1624104000,35934.9,36449.8,35537.3,36110,58409.99638580385,19635.803614196153,62287.41566296462,15758.384337035382,43598.25474704971,46428.770819377074,48716.448192901924,51004.12556642678,34447.545252950295,31617.029180622932,29329.35180709808,27041.674433573222
1624118400,36109.9,36225.4,35340.3,35924.4,58409.99638580385,19635.803614196153,62287.41566296462,15758.384337035382,43598.25474704971,46428.770819377074,48716.448192901924,51004.12556642678,34447.545252950295,31617.029180622932,29329.35180709808,27041.674433573222
1624132800,35924.4,36174.3,35382.8,35487,58409.99638580385,19635.803614196153,62287.41566296462,15758.384337035382,43598.25474704971,46428.770819377074,48716.448192901924,51004.12556642678,34447.545252950295,31617.029180622932,29329.35180709808,27041.674433573222
1624147200,35486.8,35789,35114.8,35521.2,58409.99638580385,19635.803614196153,62287.41566296462,15758.384337035382,43598.25474704971,46428.770819377074,48716.448192901924,51004.12556642678,34447.545252950295,31617.029180622932,29329.35180709808,27041.674433573222
1624161600,35521.2,35906.2,35345.2,35599.7,58409.99638580385,19635.803614196153,62287.41566296462,15758.384337035382,43598.25474704971,46428.770819377074,48716.448192901924,51004.12556642678,34447.545252950295,31617.029180622932,29329.35180709808,27041.674433573222
1624176000,35599.7,35645,33660,33854.2,58409.99638580385,19635.803614196153,62287.41566296462,15758.384337035382,43598.25474704971,46428.770819377074,48716.448192901924,51004.12556642678,34447.545252950295,31617.029180622932,29329.35180709808,27041.674433573222
1624190400,33854.1,34630,33315.6,34399,58409.99638580385,19635.803614196153,62287.41566296462,15758.384337035382,43598.25474704971,46428.770819377074,48716.448192901924,51004.12556642678,34447.545252950295,31617.029180622932,29329.35180709808,27041.674433573222
1624204800,34399.1,35653.4,34258.5,35460.3,58409.99638580385,19635.803614196153,62287.41566296462,15758.384337035382,43598.25474704971,46428.770819377074,48716.448192901924,51004.12556642678,34447.545252950295,31617.029180622932,29329.35180709808,27041.674433573222
1624219200,35465.3,36130,35357,35589.9,58409.99638580385,19635.803614196153,62287.41566296462,15758.384337035382,43598.25474704971,46428.770819377074,48716.448192901924,51004.12556642678,34447.545252950295,31617.029180622932,29329.35180709808,27041.674433573222
1624233600,35589.9,35740,34604.8,34643.2,54229.46385562522,16950.336144374785,57957.376626750265,13222.423373249741,39988.837069927555,42710.21339284883,44909.681927812606,47109.150462776386,31190.962930072452,28469.58660715117,26270.118072187393,24070.649537223617
1624248000,34643.1,34704.4,32188.9,32982.3,54229.46385562522,16950.336144374785,57957.376626750265,13222.423373249741,39988.837069927555,42710.21339284883,44909.681927812606,47109.150462776386,31190.962930072452,28469.58660715117,26270.118072187393,24070.649537223617
1624262400,32982.2,33577.7,31666.6,32515.5,54229.46385562522,16950.336144374785,57957.376626750265,13222.423373249741,39988.837069927555,42710.21339284883,44909.681927812606,47109.150462776386,31190.962930072452,28469.58660715117,26270.118072187393,24070.649537223617
1624276800,32515.6,33185.9,31921.4,32670,54229.46385562522,16950.336144374785,57957.376626750265,13222.423373249741,39988.837069927555,42710.21339284883,44909.681927812606,47109.150462776386,31190.962930072452,28469.58660715117,26270.118072187393,24070.649537223617
1624291200,32669.9,32954.7,32008.3,32545,54229.46385562522,16950.336144374785,57957.376626750265,13222.423373249741,39988.837069927555,42710.21339284883,44909.681927812606,47109.150462776386,31190.962930072452,28469.58660715117,26270.118072187393,24070.649537223617
1624305600,32545.1,32781.9,31246.9,31597.8,54229.46385562522,16950.336144374785,57957.376626750265,13222.423373249741,39988.837069927555,42710.21339284883,44909.681927812606,47109.150462776386,31190.962930072452,28469.58660715117,26270.118072187393,24070.649537223617
